Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR),Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Season,Investor Count,Got Investment,Domain
1,1,BluePine Industries,Frozen Momos,75,0,0.18,N,Y,N,Y,N,Y,N,1,3,True,Other
1,2,Booz scooters,Renting e-bike for mobility in private spaces,40,0,0.5,N,Y,N,N,N,Y,N,1,2,True,Other
1,3,Heart up my Sleeves,Detachable Sleeves,25,0,0.3,Y,N,N,N,N,Y,N,1,2,True,Other
2,4,Tagz Foods,Healthy Potato Chips,70,0,0.0275,N,Y,N,N,N,N,N,1,1,True,Health & Fitness
2,5,Head and Heart,Brain Development Course,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Other
2,6,Agro tourism,Tourism,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Other
3,7,Qzense Labs,Food Freshness Detector,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Food & Beverage
3,8,Peeschute,Disposable Urine Bag,75,0,0.06,N,N,N,Y,N,N,N,1,1,True,Other
3,9,NOCD,Energy Drink,20,30,0.15,N,N,N,N,N,Y,N,1,1,True,Other
4,10,Cosiq,Intelligent Skincare,50,0,0.25,Y,N,N,N,N,Y,N,1,2,True,Beauty & Wellness
4,11,JhaJi Achaar,Pickle,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Other
4,12,Bummer,Underwear,75,0,0.075,N,N,Y,Y,N,N,N,1,2,True,Fashion & Apparel
5,13,Revamp Moto,E-Bike,10,0,0.015,Y,N,N,Y,N,N,N,1,2,True,Other
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Other
5,15,Shrawani Engineers,Belly Button Shaper,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Other
6,16,Skippi Pops,Ice-Pops,10,0,0.15,Y,Y,Y,Y,N,Y,N,1,5,True,Other
6,17,Menstrupedia,Menstrual Awareness Comic,50,0,0.2,N,N,Y,N,N,N,N,1,1,True,Other
6,18,Hecolll,Pollution Resistant Fabric,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Other
7,19,Raising Superstars,Child Development App,10,0,0.04,N,Y,N,Y,N,N,N,1,2,True,Technology
7,20,Torch-it,Gadgets for visually impaired people,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Other
7,21,La Kheer Deli,Kheer in variety of flavors,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Other
8,22,Beyond Snack,Kerala Banana Chips,50,0,0.025,N,Y,N,Y,N,N,N,1,2,True,Other
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,56,0,0.33299999999999996,Y,N,N,N,Y,N,N,1,2,True,Other
8,24,Motion Breeze,Smart Electric Motorcycle,30,0,0.06,N,Y,N,N,N,N,N,1,1,True,Other
9,25,Altor,Smart Helmets,50,0,0.07,N,N,Y,Y,N,N,N,1,2,True,Other
9,26,Ariro,Wooden Toys,50,0,0.1,N,N,N,Y,Y,N,N,1,2,True,Other
9,27,Kabira Handmade,Healthy Oils,0,0,0.0,N,N,N,N,N,N,N,1,0,False,Health & Fitness
10,28,Nuutjob,Male Intimate Hygiene,25,0,0.2,N,N,Y,Y,Y,N,N,1,3,True,Other
